IDNumber	Author	Title	PublishingDetails	Note	firmsIndividualsIndex	Location	featherid
228	Burton, G. H.	Notes on newspapers.	Lincoln, Rutland and Stamford Mercury, 20 Mar 1914.	NULL	Lincoln, Rutland, and Stamford Mercury, The	Lincolnshire	320
229	Evans, F. H.	Brief sketch of the career of the Lincoln, Rutland and Stamford Mercury.	Stamford: Lincoln, Rutland and Stamford Mercury, 1938.	NULL	Lincoln, Rutland, and Stamford Mercury, The	Lincolnshire	321
230	Newton, D.	Mercury story: a brief record of the Lincoln, Rutland and Stamford Mercury.	Stamford: Lincoln, Rutland and Stamford Mercury, 1962.	Note: See also Madden and Dixon 1185.	Lincoln, Rutland, and Stamford Mercury, The	Lincolnshire	322
231	Fawcett, Trevor.	Eighteenth-century Norfolk booksellers. A survey and register.	TCBS, 6 (1972), 1-18.	NULL	NULL	Norfolk	323
232	-	Some aspects of the Norfolk book trade, 1800-24.	TCBS, 4 (1968), 383-95.	NULL	NULL	Norfolk	324
233	Stedman, Rex.	Vox populi: the Norfolk newspaper press 1760-1900.	Library Association Fellowship thesis, 1971.	NULL	NULL	Norfolk	325
361	-	Baskerville in the judgment of German contemporaries.	Birmingham: Birmingham School of Printing, 1937.	NULL	Baskerville, John	Warwickshire	326
362	Dreyfus, John.	The survival of Baskerville's punches.	Cambridge: Cambridge University Press, 1949.	NULL	Baskerville, John	Warwickshire	327
363	Flower, R.	The fate of the Baskerville types.	Libr., 2nd ser., 10 (1909), 251-52.	NULL	Baskerville, John	Warwickshire	328
364	Gaskell, Philip	Baskerville's punches.	Cambridge, 1953.	NULL	Baskerville, John	Warwickshire	329
365	-	John Baskerville, a bibliography.	2nd ed., Newport Pagnell: Paul Minet, 1973.	NULL	Baskerville, John	Warwickshire	330
366	McKelvey, James L.	John Baskerville's appeal to Lord Bute.	TCBS, 5 (1970), 138-41.	NULL	Baskerville, John	Warwickshire	331
367	Pardoe, F. E.	John Baskerville of Birmingham.	London: Frederick Muller, 1975.	NULL	Baskerville, John	Warwickshire	332
368	Walker, Benjamin.	The resting place of John Baskerville.	Birmingham, 1944.	NULL	Baskerville, John	Warwickshire	333
369	Hutton, William.	The life of William Hutton.	London, 1816.	NULL	Hutton, William	Warwickshire	334
370	Redlich, Fritz.	Some English stationers of the seventeenth and eighteenth centuries: in the light of their autobiographies.	Business History, 8 (1966), 1-12, 86-101.	NULL	Hutton, William	Warwickshire	335
371	Wilson, Edward M.	Three printed ballad texts from Birmingham.	TCBS, 6 (1976), 339-45.	NULL	Wood, Thomas	Warwickshire	336
372	-	Bicentenary number.	Coventry Standard, 19 Jul 1941.	Note: See also Madden and Dixon 859.	Coventry Mercury, The	Warwickshire	337
373	-	Centenary supplement 1828-1928.	Royal Leamington Spa Courier, 10 Aug 1928.	NULL	Leamington Spa Courier, The	Warwickshire	338
374	Morgan, Paul.	Early booksellers, printers, and publishers in Stratford-upon-Avon.	Birmingham Arch. Soc. Trans., 67 (1948-49), 55-70.	NULL	NULL	Warwickshire	339
375	Morgan, Paul.	The earliest Stratford-upon-Avon newspaper.	NQ, 195 (1950), 52.	NULL	Sratford, Shipston, and Aulcester Advertiser, The	Warwickshire	340
376	Morgan, Paul.	George Tonge: a seventeenth century Warwick bookseller.	NQ, 198 (1953),340.	NULL	Tonge, George	Warwickshire	341
377	-	150th anniversary supplement.	Warwick and Warwickshire Advertiser, 6 Jan 1956.	Note: See also Madden and Dixon 1678.	Warwick and Warwickshire Advertiser, The	Warwickshire	342
378	James, D. P.	Booksellers, printers, stationers, etc. Westmorland to 1865.	Newcastle-upon-Tyne: History of the Book Trade in the North, 1966.	NULL	NULL	Westmorland	343
